Language learnability experiment																
Logfile written - 07/01/2019 09:53:18																
Participant ID: 060																
Language: B2																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	4	1	90											60
1	Exposure	2	24	4	210											60
1	Exposure	3	11	2	300											60
1	Exposure	4	16	3	180											60
1	Exposure	5	15	3	60											60
1	Exposure	6	6	1	360											60
1	Exposure	7	8	2	120											60
1	Exposure	8	26	4	270											60
1	Exposure	9	5	1	300											60
1	Exposure	10	21	3	240											60
1	Exposure	11	9	2	45											60
1	Exposure	12	23	4	135											60
1	Exposure	1	23	4	135											60
1	Exposure	2	11	2	300											60
1	Exposure	3	26	4	270											60
1	Exposure	4	6	1	360											60
1	Exposure	5	4	1	90											60
1	Exposure	6	5	1	300											60
1	Exposure	7	8	2	120											60
1	Exposure	8	15	3	60											60
1	Exposure	9	9	2	45											60
1	Exposure	10	24	4	210											60
1	Exposure	11	16	3	180											60
1	Exposure	12	21	3	240											60
1	Guessing	1	23	4	135	24	5	4					4	0		60
1	Guessing	2	21	3	240	5	6	23					21	1		60
1	Guessing	3	9	2	45	16	23	8					9	1		60
1	Guessing	4	6	1	360	24	21	4					24	0		60
1	Guessing	5	15	3	60	16	8	23					15	1		60
1	Guessing	6	24	4	210	4	23	16					24	1		60
1	Guessing	7	16	3	180	21	6	23					23	0		60
1	Guessing	8	11	2	300	6	21	15					11	1		60
1	Guessing	9	5	1	300	26	23	11					5	1		60
1	Guessing	10	4	1	90	11	9	16					4	1		60
1	Guessing	11	8	2	120	9	16	11					9	0		60
1	Guessing	12	26	4	270	4	21	16					16	0		60
1	Guessing	1	16	3	180	9	26	24					16	1		60
1	Guessing	2	11	2	300	4	15	21					11	1		60
1	Guessing	3	15	3	60	4	11	9					15	1		60
1	Guessing	4	24	4	210	5	23	6					23	0		60
1	Guessing	5	9	2	45	8	21	16					16	0		60
1	Guessing	6	26	4	270	15	4	16					26	1		60
1	Guessing	7	21	3	240	26	4	24					21	1		60
1	Guessing	8	8	2	120	5	16	6					16	0		60
1	Guessing	9	4	1	90	11	5	26					4	1		60
1	Guessing	10	5	1	300	16	21	15					5	1		60
1	Guessing	11	6	1	360	16	5	8					16	0		60
1	Guessing	12	23	4	135	8	26	15					26	0		60
1	Production	1	5	1	300									0	sketsuu	60
1	Production	2	6	1	360									1	sket	60
1	Production	3	9	2	45									0	skektu	60
1	Production	4	4	1	90									0	skektsu	60
1	Production	5	23	4	135									0	gnt	60
1	Production	6	15	3	60									1	wangsu	60
1	Production	7	11	2	300									0	wangsuu	60
1	Production	8	24	4	210									0	gempt	60
1	Production	9	16	3	180									0	wangi	60
1	Production	10	8	2	120									0	wangu	60
1	Production	11	21	3	240									0	gemptu	60
1	Production	12	26	4	270									0	gntsuu	60
1	Production	1	24	4	210									0	gntsu	60
1	Production	2	16	3	180									0	gempt	60
1	Production	3	4	1	90									0	skets	60
1	Production	4	21	3	240									1	wangsoe	60
1	Production	5	26	4	270									1	gnt	60
1	Production	6	9	2	45									0	wangsus	60
1	Production	7	6	1	360									0	sketuu	60
1	Production	8	15	3	60									0	wangi	60
1	Production	9	23	4	135									0	gntsuu	60
1	Production	10	11	2	300									0	wangu	60
