Language learnability experiment
Logfile written - 05/17/2019 13:07:11
Participant ID: 044
Language: B5
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	7	1	315											044
1	Exposure	2	18	3	180											044
1	Exposure	3	26	4	225											044
1	Exposure	4	3	1	360											044
1	Exposure	5	10	2	210											044
1	Exposure	6	21	3	270											044
1	Exposure	7	23	4	300											044
1	Exposure	8	1	1	150											044
1	Exposure	9	9	2	90											044
1	Exposure	10	15	3	45											044
1	Exposure	11	28	4	30											044
1	Exposure	12	12	2	135											044
1	Exposure	1	9	2	90											044
1	Exposure	2	23	4	300											044
1	Exposure	3	26	4	225											044
1	Exposure	4	21	3	270											044
1	Exposure	5	18	3	180											044
1	Exposure	6	10	2	210											044
1	Exposure	7	12	2	135											044
1	Exposure	8	28	4	30											044
1	Exposure	9	3	1	360											044
1	Exposure	10	15	3	45											044
1	Exposure	11	7	1	315											044
1	Exposure	12	1	1	150											044
1	Guessing	1	9	2	90	1	21	18					9	1		044
1	Guessing	2	10	2	210	18	9	15					10	1		044
1	Guessing	3	1	1	150	26	15	9					1	1		044
1	Guessing	4	15	3	45	7	12	23					15	1		044
1	Guessing	5	3	1	360	10	21	18					3	1		044
1	Guessing	6	23	4	300	7	15	1					23	1		044
1	Guessing	7	18	3	180	21	12	3					3	0		044
1	Guessing	8	26	4	225	10	9	28					26	1		044
1	Guessing	9	12	2	135	15	10	1					12	1		044
1	Guessing	10	28	4	30	23	18	9					28	1		044
1	Guessing	11	21	3	270	12	28	1					21	1		044
1	Guessing	12	7	1	315	15	10	3					7	1		044
1	Guessing	1	1	1	150	7	15	21					1	1		044
1	Guessing	2	26	4	225	28	15	23					26	1		044
1	Guessing	3	28	4	30	15	23	1					28	1		044
1	Guessing	4	21	3	270	26	3	28					21	1		044
1	Guessing	5	10	2	210	26	21	7					10	1		044
1	Guessing	6	23	4	300	1	3	21					23	1		044
1	Guessing	7	18	3	180	26	28	12					18	1		044
1	Guessing	8	9	2	90	1	15	21					9	1		044
1	Guessing	9	12	2	135	9	28	18					12	1		044
