Language learnability experiment																
Logfile written - 05/22/2019 10:15:47																
Participant ID: 046																
Language: B2																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	4	1	90											46
1	Exposure	2	16	3	180											46
1	Exposure	3	8	2	120											46
1	Exposure	4	15	3	60											46
1	Exposure	5	24	4	210											46
1	Exposure	6	9	2	45											46
1	Exposure	7	21	3	240											46
1	Exposure	8	6	1	360											46
1	Exposure	9	5	1	300											46
1	Exposure	10	26	4	270											46
1	Exposure	11	23	4	135											46
1	Exposure	12	11	2	300											46
1	Exposure	1	11	2	300											46
1	Exposure	2	16	3	180											46
1	Exposure	3	21	3	240											46
1	Exposure	4	4	1	90											46
1	Exposure	5	15	3	60											46
1	Exposure	6	6	1	360											46
1	Exposure	7	26	4	270											46
1	Exposure	8	8	2	120											46
1	Exposure	9	24	4	210											46
1	Exposure	10	23	4	135											46
1	Exposure	11	9	2	45											46
1	Exposure	12	5	1	300											46
1	Guessing	1	8	2	120	9	16	6					8	1		46
1	Guessing	2	11	2	300	9	6	26					9	0		46
1	Guessing	3	4	1	90	15	9	5					5	0		46
1	Guessing	4	16	3	180	21	24	8					8	0		46
1	Guessing	5	24	4	210	4	26	5					26	0		46
1	Guessing	6	6	1	360	16	5	15					5	0		46
1	Guessing	7	15	3	60	5	11	8					15	1		46
1	Guessing	8	9	2	45	21	4	24					21	0		46
1	Guessing	9	26	4	270	23	15	4					26	1		46
1	Guessing	10	21	3	240	23	6	15					15	0		46
1	Guessing	11	5	1	300	6	21	24					5	1		46
1	Guessing	12	23	4	135	24	9	8					24	0		46
1	Guessing	1	9	2	45	26	15	23					15	0		46
1	Guessing	2	16	3	180	24	8	9					8	0		46
1	Guessing	3	11	2	300	9	5	23					23	0		46
1	Guessing	4	4	1	90	23	16	21					4	1		46
1	Guessing	5	15	3	60	26	11	9					9	0		46
1	Guessing	6	6	1	360	16	11	15					6	1		46
1	Guessing	7	21	3	240	23	4	15					4	0		46
