Language learnability experiment
Logfile written - 05/10/2019 08:57:58
Participant ID: 028
Language: B1
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	19	3	135											028
1	Exposure	2	20	3	240											028
1	Exposure	3	12	2	30											028
1	Exposure	4	23	4	360											028
1	Exposure	5	7	1	135											028
1	Exposure	6	17	3	315											028
1	Exposure	7	14	2	120											028
1	Exposure	8	3	1	90											028
1	Exposure	9	22	4	60											028
1	Exposure	10	1	1	210											028
1	Exposure	11	24	4	180											028
1	Exposure	12	9	2	270											028
1	Exposure	1	17	3	315											028
1	Exposure	2	12	2	30											028
1	Exposure	3	22	4	60											028
1	Exposure	4	7	1	135											028
1	Exposure	5	23	4	360											028
1	Exposure	6	24	4	180											028
1	Exposure	7	19	3	135											028
1	Exposure	8	1	1	210											028
1	Exposure	9	20	3	240											028
1	Exposure	10	14	2	120											028
1	Exposure	11	9	2	270											028
1	Exposure	12	3	1	90											028
1	Guessing	1	3	1	90	20	22	23					3	1		028
1	Guessing	2	22	4	60	1	19	7					22	1		028
1	Guessing	3	7	1	135	14	20	22					14	0		028
1	Guessing	4	17	3	315	12	20	24					17	1		028
1	Guessing	5	1	1	210	20	23	14					1	1		028
1	Guessing	6	12	2	30	19	3	20					12	1		028
1	Guessing	7	9	2	270	7	12	19					9	1		028
1	Guessing	8	24	4	180	22	3	19					24	1		028
1	Guessing	9	19	3	135	23	7	14					19	1		028
1	Guessing	10	14	2	120	1	7	19					14	1		028
1	Guessing	11	20	3	240	22	9	19					20	1		028
1	Guessing	12	23	4	360	7	22	19					23	1		028
1	Guessing	1	24	4	180	20	3	14					3	0		028
1	Guessing	2	17	3	315	23	19	14					17	1		028
1	Guessing	3	23	4	360	22	9	1					23	1		028
1	Guessing	4	12	2	30	9	7	19					12	1		028
1	Guessing	5	20	3	240	7	24	23					20	1		028
1	Guessing	6	22	4	60	1	12	20					22	1		028
1	Guessing	7	9	2	270	14	23	22					9	1		028
1	Guessing	8	14	2	120	23	22	20					14	1		028
1	Guessing	9	3	1	90	1	14	19					3	1		028
1	Guessing	10	1	1	210	7	23	22					1	1		028
1	Guessing	11	19	3	135	24	20	14					19	1		028
1	Guessing	12	7	1	135	20	3	12					7	1		028
1	Production	1	24	4	180									1	pt	028
1	Production	2	12	2	30									1	seefe	028
1	Production	3	9	2	270									0	haiu	028
1	Production	4	22	4	60									1	kite	028
1	Production	5	1	1	210									1	ha-ia	028
1	Production	6	14	2	120									1	ftio	028
1	Production	7	3	1	90									0	haiu	028
1	Production	8	17	3	315									0	maimi	028
1	Production	9	23	4	360									1	pepepe	028
1	Production	10	20	3	240									1	koi	028
1	Production	11	19	3	135									1	mimi	028
1	Production	12	7	1	135									0	ftio	028
1	Production	1	9	2	270									1	pooti	028
1	Production	2	3	1	90									1	hiu	028
1	Production	3	1	1	210									1	ha-ia	028
1	Production	4	7	1	135									1	ahma	028
1	Production	5	17	3	315									1	maima	028
1	Production	6	12	2	30									1	seefe	028
1	Production	7	23	4	360									1	pepepe	028
1	Production	8	20	3	240									1	koi	028
1	Production	9	22	4	60									1	kite	028
1	Production	10	24	4	180									1	pt	028
1	Production	11	14	2	120									1	ftio	028
1	Production	12	19	3	135									1	mimi	028
2	Exposure	1	16	3	45											028
2	Exposure	2	10	2	150											028
2	Exposure	3	4	1	330											028
2	Exposure	4	21	3	360											028
2	Exposure	5	5	1	30											028
2	Exposure	6	25	4	315											028
2	Exposure	7	27	4	120											028
2	Exposure	8	11	2	330											028
2	Exposure	9	2	1	270											028
2	Exposure	10	28	4	225											028
2	Exposure	11	6	1	300											028
2	Exposure	1	2	1	270											028
2	Exposure	2	4	1	330											028
2	Exposure	3	10	2	150											028
2	Exposure	4	27	4	120											028
2	Exposure	5	5	1	30											028
2	Exposure	6	11	2	330											028
2	Exposure	7	21	3	360											028
2	Exposure	8	6	1	300											028
2	Exposure	9	16	3	45											028
2	Exposure	10	28	4	225											028
2	Exposure	11	25	4	315											028
2	Guessing	1	28	4	225	25	27	16					27	0		028
2	Guessing	2	25	4	315	27	4	28					25	1		028
2	Guessing	3	21	3	360	6	27	4					21	1		028
2	Guessing	4	27	4	120	21	11	2					27	1		028
2	Guessing	5	11	2	330	10	21	27					11	1		028
2	Guessing	6	6	1	300	16	10	25					16	0		028
2	Guessing	7	4	1	330	27	16	11					11	0		028
2	Guessing	8	10	2	150	2	6	27					10	1		028
2	Guessing	9	5	1	30	10	6	11					5	1		028
2	Guessing	10	16	3	45	11	25	5					16	1		028
2	Guessing	11	2	1	270	25	16	10					2	1		028
2	Guessing	1	10	2	150	28	27	25					10	1		028
2	Guessing	2	4	1	330	2	21	10					10	0		028
2	Guessing	3	25	4	315	28	27	21					25	1		028
2	Guessing	4	21	3	360	28	27	2					21	1		028
2	Guessing	5	5	1	30	25	27	21					5	1		028
2	Guessing	6	27	4	120	4	16	6					27	1		028
2	Guessing	7	11	2	330	21	25	4					4	0		028
2	Guessing	8	16	3	45	6	2	25					16	1		028
2	Guessing	9	6	1	300	25	10	2					25	0		028
2	Guessing	10	28	4	225	25	2	16					28	1		028
2	Guessing	11	2	1	270	5	6	16					2	1		028
2	Production	1	25	4	315									0	fa-ka	028
2	Production	2	28	4	225									1	gtgt	028
2	Production	3	2	1	270									1	swaa	028
2	Production	4	27	4	120									1	ftft	028
2	Production	5	10	2	150									0	sk-a	028
2	Production	6	16	3	45									1	fiti	028
2	Production	7	11	2	330									0	noni	028
2	Production	8	6	1	300									0	ska	028
2	Production	9	5	1	30									0	noni	028
2	Production	10	4	1	330									0	skaia	028
2	Production	11	21	3	360									0	skai	028
2	Production	1	10	2	150									0	waka	028
2	Production	2	25	4	315									0	fite	028
2	Production	3	5	1	30									0	wa-kai	028
2	Production	4	21	3	360									1	tk-a	028
2	Production	5	6	1	300									0	haiu	028
2	Production	6	16	3	45									0	haiku	028
2	Production	7	4	1	330									1	noni	028
2	Production	8	27	4	120									1	ftft	028
2	Production	9	2	1	270									1	swaa	028
2	Production	10	11	2	330									0	wa-ka	028
2	Production	11	28	4	225									1	gtgt	028
3	Exposure	1	11	2	330											028
3	Exposure	2	14	2	120											028
3	Exposure	3	28	4	225											028
3	Exposure	4	23	4	360											028
3	Exposure	5	19	3	135											028
3	Exposure	6	4	1	330											028
3	Exposure	7	20	3	240											028
3	Exposure	8	24	4	180											028
3	Exposure	9	1	1	210											028
3	Exposure	10	12	2	30											028
3	Exposure	11	3	1	90											028
3	Exposure	12	9	2	270											028
3	Exposure	13	10	2	150											028
3	Exposure	14	27	4	120											028
3	Exposure	15	21	3	360											028
3	Exposure	16	6	1	300											028
3	Exposure	17	25	4	315											028
3	Exposure	18	7	1	135											028
3	Exposure	19	16	3	45											028
3	Exposure	20	17	3	315											028
3	Exposure	21	5	1	30											028
3	Exposure	22	22	4	60											028
3	Exposure	23	2	1	270											028
3	Guessing	1	14	2	120	19	6	3	7	16	17	1	14	1		028
3	Guessing	2	12	2	30	27	17	5	14	23	19	7	12	1		028
3	Guessing	3	16	3	45	2	5	9	6	19	11	22	16	1		028
3	Guessing	4	11	2	330	6	16	2	1	14	10	12	11	1		028
3	Guessing	5	28	4	225	23	11	10	25	17	22	14	28	1		028
3	Guessing	6	22	4	60	19	4	24	7	12	14	27	22	1		028
3	Guessing	7	21	3	360	12	24	1	19	28	6	27	21	1		028
3	Guessing	8	4	1	330	11	22	20	21	16	17	27	4	1		028
3	Guessing	9	27	4	120	16	10	4	28	14	21	17	27	1		028
3	Guessing	10	6	1	300	1	3	5	4	27	11	10	5	0		028
3	Guessing	11	3	1	90	24	14	7	23	19	25	9	3	1		028
3	Guessing	12	24	4	180	22	20	23	21	4	16	5	24	1		028
3	Guessing	13	5	1	30	2	21	10	4	14	6	3	5	1		028
3	Guessing	14	7	1	135	22	2	14	28	9	11	23	14	0		028
3	Guessing	15	20	3	240	6	14	17	2	22	4	28	20	1		028
3	Guessing	16	19	3	135	11	27	22	5	3	17	6	19	1		028
3	Guessing	17	23	4	360	6	28	3	7	25	9	19	23	1		028
3	Guessing	18	17	3	315	11	12	16	20	6	19	21	17	1		028
3	Guessing	19	25	4	315	23	4	9	27	12	2	22	25	1		028
3	Guessing	20	2	1	270	4	20	24	14	7	28	9	2	1		028
3	Guessing	21	1	1	210	14	28	17	7	22	23	11	1	1		028
3	Guessing	22	9	2	270	12	7	5	17	2	11	6	9	1		028
3	Guessing	23	10	2	150	14	24	9	21	12	1	4	14	0		028
3	Production	1	20	3	240									1	koi	028
3	Production	2	21	3	360									0	sk-a	028
3	Production	3	23	4	360									1	pepepe	028
3	Production	4	12	2	30									0	hehi	028
3	Production	5	28	4	225									1	gtgt	028
3	Production	6	3	1	90									1	hiu	028
3	Production	7	1	1	210									1	ha-ia	028
3	Production	8	24	4	180									1	pt	028
3	Production	9	25	4	315									1	fik	028
3	Production	10	14	2	120									1	ftio	028
3	Production	11	5	1	30									0	hehi	028
3	Production	12	6	1	300									0	tak-ai	028
3	Production	13	16	3	45									1	fiti	028
3	Production	14	27	4	120									1	ftft	028
3	Production	15	11	2	330									1	wak-ta	028
3	Production	16	22	4	60									1	kite	028
3	Production	17	10	2	150									1	hehi	028
3	Production	18	19	3	135									1	mimi	028
3	Production	19	17	3	315									1	maima	028
3	Production	20	4	1	330									0	fak-ta	028
3	Production	21	2	1	270									1	swaa	028
3	Production	22	9	2	270									1	pooti	028
3	Production	23	7	1	135									0	gehe	028
5	MemorizationTest	1	21	3	360									1	tk-a	028
5	MemorizationTest	2	14	2	120									1	ftio	028
5	MemorizationTest	3	1	1	210									1	ha-ia	028
5	MemorizationTest	4	19	3	135									1	mimi	028
5	MemorizationTest	5	25	4	315									1	fik	028
