Language learnability experiment
Logfile written - 05/03/2019 13:07:55
Participant ID: 008
Language: B4
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	16	3	135											008
1	Exposure	2	23	4	300											008
1	Exposure	3	3	1	360											008
1	Exposure	4	8	2	270											008
1	Exposure	5	19	3	240											008
1	Exposure	6	7	1	315											008
1	Exposure	7	26	4	225											008
1	Exposure	8	9	2	90											008
1	Exposure	9	1	1	150											008
1	Exposure	10	28	4	30											008
1	Exposure	11	18	3	180											008
1	Exposure	12	11	2	45											008
1	Exposure	1	8	2	270											008
1	Exposure	2	9	2	90											008
1	Exposure	3	16	3	135											008
1	Exposure	4	18	3	180											008
1	Exposure	5	28	4	30											008
1	Exposure	6	11	2	45											008
1	Exposure	7	19	3	240											008
1	Exposure	8	7	1	315											008
1	Exposure	9	3	1	360											008
1	Exposure	10	1	1	150											008
1	Exposure	11	26	4	225											008
1	Exposure	12	23	4	300											008
1	Guessing	1	23	4	300	19	8	3					23	1		008
1	Guessing	2	19	3	240	8	18	23					19	1		008
1	Guessing	3	18	3	180	1	8	16					18	1		008
1	Guessing	4	26	4	225	11	7	18					26	1		008
1	Guessing	5	1	1	150	26	11	19					1	1		008
1	Guessing	6	16	3	135	19	3	23					16	1		008
1	Guessing	7	28	4	30	19	16	7					28	1		008
1	Guessing	8	3	1	360	16	8	7					3	1		008
1	Guessing	9	7	1	315	18	26	8					7	1		008
1	Guessing	10	8	2	270	11	18	3					8	1		008
1	Guessing	11	11	2	45	9	23	3					11	1		008
1	Guessing	12	9	2	90	8	7	28					9	1		008
1	Guessing	1	19	3	240	3	18	1					19	1		008
1	Guessing	2	1	1	150	3	9	16					1	1		008
1	Guessing	3	16	3	135	23	7	28					16	1		008
1	Guessing	4	28	4	30	18	11	8					28	1		008
1	Guessing	5	26	4	225	3	1	19					26	1		008
1	Guessing	6	11	2	45	7	19	28					11	1		008
1	Guessing	7	7	1	315	26	1	18					7	1		008
1	Guessing	8	23	4	300	9	26	1					23	1		008
1	Guessing	9	18	3	180	1	16	28					18	1		008
1	Guessing	10	9	2	90	19	11	8					9	1		008
1	Guessing	11	8	2	270	9	28	19					8	1		008
1	Guessing	12	3	1	360	7	23	8					3	1		008
1	Production	1	3	1	360									1	fas-i	008
1	Production	2	19	3	240									1	muif-huif	008
