Language learnability experiment
Logfile written - 05/07/2019 12:45:49
Participant ID: 016
Language: B4
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	23	4	300											016
1	Exposure	2	11	2	45											016
1	Exposure	3	1	1	150											016
1	Exposure	4	8	2	270											016
1	Exposure	5	26	4	225											016
1	Exposure	6	9	2	90											016
1	Exposure	7	16	3	135											016
1	Exposure	8	28	4	30											016
1	Exposure	9	3	1	360											016
1	Exposure	10	7	1	315											016
1	Exposure	11	18	3	180											016
1	Exposure	12	19	3	240											016
1	Exposure	1	1	1	150											016
1	Exposure	2	11	2	45											016
1	Exposure	3	28	4	30											016
1	Exposure	4	23	4	300											016
1	Exposure	5	16	3	135											016
1	Exposure	6	19	3	240											016
1	Exposure	7	7	1	315											016
1	Exposure	8	3	1	360											016
1	Exposure	9	26	4	225											016
1	Exposure	10	18	3	180											016
1	Exposure	11	9	2	90											016
1	Exposure	12	8	2	270											016
1	Guessing	1	26	4	225	28	11	9					26	1		016
1	Guessing	2	7	1	315	8	9	28					7	1		016
1	Guessing	3	11	2	45	16	28	18					11	1		016
1	Guessing	4	1	1	150	3	8	11					1	1		016
1	Guessing	5	3	1	360	7	11	8					3	1		016
1	Guessing	6	8	2	270	26	11	7					8	1		016
1	Guessing	7	16	3	135	1	9	3					16	1		016
1	Guessing	8	18	3	180	26	3	8					18	1		016
1	Guessing	9	19	3	240	3	23	8					19	1		016
1	Guessing	10	28	4	30	18	8	7					28	1		016
1	Guessing	11	23	4	300	7	26	28					23	1		016
1	Guessing	12	9	2	90	1	8	16					9	1		016
1	Guessing	1	16	3	135	7	23	26					16	1		016
1	Guessing	2	9	2	90	16	3	8					9	1		016
1	Guessing	3	23	4	300	1	19	9					23	1		016
1	Guessing	4	26	4	225	1	16	28					26	1		016
1	Guessing	5	11	2	45	28	26	18					11	1		016
1	Guessing	6	18	3	180	9	3	8					18	1		016
1	Guessing	7	19	3	240	11	28	1					19	1		016
1	Guessing	8	1	1	150	7	16	28					1	1		016
1	Guessing	9	3	1	360	9	1	23					3	1		016
1	Guessing	10	28	4	30	19	23	18					28	1		016
1	Guessing	11	7	1	315	8	11	9					7	1		016
1	Guessing	12	8	2	270	1	28	26					8	1		016
1	Production	1	26	4	225									1	fak-huif	016
1	Production	2	3	1	360									0	muif-i	016
1	Production	3	8	2	270									1	pok-u	016
1	Production	4	9	2	90									1	pok-iii	016
1	Production	5	16	3	135									1	muif-e	016
1	Production	6	19	3	240									1	muif-huif	016
1	Production	7	11	2	45									1	pok-a	016
1	Production	8	23	4	300									0	fak-	016
1	Production	9	1	1	150									1	fas-e	016
1	Production	10	28	4	30									1	fak-a	016
1	Production	11	7	1	315									1	fas-pok	016
1	Production	12	18	3	180									0	pok-w	016
1	Production	1	26	4	225									1	fak-huif	016
1	Production	2	1	1	150									1	fas-e	016
1	Production	3	23	4	300									1	fak-pok	016
1	Production	4	16	3	135									1	muif-e	016
1	Production	5	7	1	315									1	fas-pok	016
1	Production	6	28	4	30									1	fak-a	016
1	Production	7	8	2	270									0	fok-u	016
1	Production	8	18	3	180									1	muif-w	016
1	Production	9	11	2	45									1	pok-a	016
1	Production	10	19	3	240									1	muif-huif	016
1	Production	11	9	2	90									1	pok-iii	016
1	Production	12	3	1	360									1	fas-i	016
2	Exposure	1	25	4	120											016
2	Exposure	2	21	3	270											016
2	Exposure	3	20	3	315											016
2	Exposure	4	5	1	60											016
2	Exposure	5	10	2	210											016
2	Exposure	6	4	1	210											016
2	Exposure	7	15	3	45											016
2	Exposure	8	12	2	135											016
2	Exposure	9	14	2	180											016
2	Exposure	10	13	2	330											016
2	Exposure	11	6	1	240											016
2	Exposure	1	13	2	330											016
2	Exposure	2	6	1	240											016
2	Exposure	3	20	3	315											016
2	Exposure	4	25	4	120											016
2	Exposure	5	14	2	180											016
2	Exposure	6	5	1	60											016
2	Exposure	7	15	3	45											016
2	Exposure	8	4	1	210											016
2	Exposure	9	10	2	210											016
2	Exposure	10	12	2	135											016
2	Exposure	11	21	3	270											016
2	Guessing	1	21	3	270	25	14	4					21	1		016
2	Guessing	2	4	1	210	21	13	25					4	1		016
2	Guessing	3	13	2	330	14	20	12					13	1		016
2	Guessing	4	5	1	60	10	25	13					5	1		016
2	Guessing	5	6	1	240	25	10	14					6	1		016
2	Guessing	6	20	3	315	21	13	12					20	1		016
2	Guessing	7	15	3	45	21	25	13					15	1		016
2	Guessing	8	25	4	120	20	15	6					25	1		016
2	Guessing	9	12	2	135	25	21	5					12	1		016
2	Guessing	10	14	2	180	25	12	15					14	1		016
2	Guessing	11	10	2	210	4	13	5					10	1		016
2	Guessing	1	12	2	135	10	25	4					12	1		016
2	Guessing	2	10	2	210	21	13	14					10	1		016
2	Guessing	3	15	3	45	25	6	12					15	1		016
2	Guessing	4	6	1	240	25	5	20					6	1		016
2	Guessing	5	13	2	330	12	10	20					13	1		016
2	Guessing	6	5	1	60	20	14	10					5	1		016
2	Guessing	7	21	3	270	6	10	13					21	1		016
2	Guessing	8	20	3	315	6	5	14					20	1		016
2	Guessing	9	25	4	120	6	15	12					25	1		016
2	Guessing	10	4	1	210	14	25	13					4	1		016
2	Guessing	11	14	2	180	25	12	6					14	1		016
2	Production	1	13	2	330									1	pok	016
2	Production	2	10	2	210									1	pok-huif	016
2	Production	3	14	2	180									0	pok-e	016
2	Production	4	25	4	120									1	fak-e	016
2	Production	5	21	3	270									1	muif-u	016
2	Production	6	20	3	315									1	muif-pok	016
2	Production	7	4	1	210									1	fas-w-w-huif	016
2	Production	8	6	1	240									0	fas-w-w-huif	016
2	Production	9	15	3	45									1	muif-a	016
2	Production	10	5	1	60									1	fas-a	016
2	Production	11	12	2	135									1	pok-e	016
2	Production	1	15	3	45									1	muif-a	016
2	Production	2	10	2	210									1	pok-huif	016
2	Production	3	6	1	240									1	fas-huif	016
2	Production	4	20	3	315									1	muif-pok	016
2	Production	5	25	4	120									1	fak-e	016
2	Production	6	14	2	180									1	pok-w	016
2	Production	7	13	2	330									1	pok	016
2	Production	8	21	3	270									1	muif-u	016
2	Production	9	5	1	60									1	fas-a	016
2	Production	10	4	1	210									1	fas-w-w-huif	016
2	Production	11	12	2	135									1	pok-e	016
3	Exposure	1	3	1	360											016
3	Exposure	2	9	2	90											016
3	Exposure	3	20	3	315											016
3	Exposure	4	25	4	120											016
3	Exposure	5	8	2	270											016
3	Exposure	6	10	2	210											016
3	Exposure	7	11	2	45											016
3	Exposure	8	14	2	180											016
3	Exposure	9	5	1	60											016
3	Exposure	10	15	3	45											016
3	Exposure	11	7	1	315											016
3	Exposure	12	6	1	240											016
3	Exposure	13	4	1	210											016
3	Exposure	14	16	3	135											016
3	Exposure	15	28	4	30											016
3	Exposure	16	19	3	240											016
3	Exposure	17	18	3	180											016
3	Exposure	18	12	2	135											016
3	Exposure	19	13	2	330											016
3	Exposure	20	1	1	150											016
3	Exposure	21	21	3	270											016
3	Exposure	22	23	4	300											016
3	Exposure	23	26	4	225											016
3	Guessing	1	26	4	225	6	20	3	11	19	1	10	26	1		016
