Language learnability experiment
Logfile written - 08/06/2019 12:18:06
Participant ID: 068
Language: B5
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	28	4	30											068
1	Exposure	2	10	2	210											068
1	Exposure	3	18	3	180											068
1	Exposure	4	3	1	360											068
1	Exposure	5	23	4	300											068
1	Exposure	6	15	3	45											068
1	Exposure	7	7	1	315											068
1	Exposure	8	1	1	150											068
1	Exposure	9	26	4	225											068
1	Exposure	10	12	2	135											068
1	Exposure	11	9	2	90											068
1	Exposure	12	21	3	270											068
1	Exposure	1	9	2	90											068
1	Exposure	2	7	1	315											068
1	Exposure	3	21	3	270											068
1	Exposure	4	12	2	135											068
1	Exposure	5	26	4	225											068
1	Exposure	6	18	3	180											068
1	Exposure	7	3	1	360											068
1	Exposure	8	15	3	45											068
1	Exposure	9	23	4	300											068
1	Exposure	10	10	2	210											068
1	Exposure	11	1	1	150											068
1	Exposure	12	28	4	30											068
1	Guessing	1	1	1	150	15	28	23					1	1		068
1	Guessing	2	10	2	210	26	12	3					10	1		068
1	Guessing	3	15	3	45	7	18	21					15	1		068
1	Guessing	4	12	2	135	26	18	15					12	1		068
1	Guessing	5	21	3	270	28	1	12					21	1		068
1	Guessing	6	18	3	180	21	1	23					18	1		068
1	Guessing	7	28	4	30	26	18	9					28	1		068
1	Guessing	8	26	4	225	21	3	9					26	1		068
1	Guessing	9	3	1	360	12	18	10					3	1		068
1	Guessing	10	7	1	315	10	15	3					7	1		068
1	Guessing	11	23	4	300	21	28	1					23	1		068
1	Guessing	12	9	2	90	28	7	26					9	1		068
1	Guessing	1	21	3	270	26	28	10					21	1		068
1	Guessing	2	7	1	315	10	23	15					7	1		068
1	Guessing	3	26	4	225	18	3	7					26	1		068
1	Guessing	4	18	3	180	23	3	15					3	0		068
1	Guessing	5	1	1	150	7	9	3					1	1		068
1	Guessing	6	12	2	135	1	18	9					12	1		068
1	Guessing	7	10	2	210	21	23	3					10	1		068
1	Guessing	8	3	1	360	18	9	15					3	1		068
1	Guessing	9	15	3	45	10	7	9					7	0		068
1	Guessing	10	23	4	300	26	3	7					23	1		068
1	Guessing	11	28	4	30	26	7	21					28	1		068
1	Guessing	12	9	2	90	12	15	10					9	1		068
1	Production	1	3	1	360									1	festii	068
1	Production	2	9	2	90									1	tupoo	068
1	Production	3	7	1	315									1	festui	068
1	Production	4	15	3	45									0	wasoi	068
1	Production	5	28	4	30									0	wasoi	068
1	Production	6	26	4	225									1	wasua	068
1	Production	7	1	1	150									0	festuaa	068
1	Production	8	23	4	300									0	wasiu	068
1	Production	9	18	3	180									0	gestaa	068
1	Production	10	12	2	135									1	tupoa	068
1	Production	11	10	2	210									0	tupuua	068
1	Production	12	21	3	270									0	gastuu	068
1	Production	1	7	1	315									0	festii	068
1	Production	2	21	3	270									1	guasuu	068
1	Production	3	10	2	210									1	tupaau	068
1	Production	4	9	2	90									1	tupoo	068
1	Production	5	26	4	225									1	wasua	068
1	Production	6	15	3	45									1	guasoi	068
1	Production	7	28	4	30									0	wasoi	068
1	Production	8	1	1	150									1	festoa	068
1	Production	9	12	2	135									1	tupoa	068
1	Production	10	3	1	360									1	festii	068
1	Production	11	23	4	300									0	wasiuu	068
1	Production	12	18	3	180									1	guasaa	068
2	Exposure	1	4	1	210											068
2	Exposure	2	25	4	120											068
2	Exposure	3	13	2	330											068
2	Exposure	4	11	2	45											068
2	Exposure	5	5	1	60											068
2	Exposure	6	20	3	315											068
2	Exposure	7	8	2	270											068
2	Exposure	8	6	1	240											068
2	Exposure	9	16	3	135											068
2	Exposure	10	19	3	240											068
2	Exposure	11	14	2	180											068
2	Exposure	1	25	4	120											068
2	Exposure	2	14	2	180											068
2	Exposure	3	5	1	60											068
2	Exposure	4	11	2	45											068
2	Exposure	5	19	3	240											068
2	Exposure	6	20	3	315											068
2	Exposure	7	6	1	240											068
2	Exposure	8	16	3	135											068
2	Exposure	9	4	1	210											068
2	Exposure	10	13	2	330											068
2	Exposure	11	8	2	270											068
2	Guessing	1	20	3	315	16	8	5					20	1		068
2	Guessing	2	16	3	135	6	19	11					16	1		068
2	Guessing	3	14	2	180	8	20	13					14	1		068
2	Guessing	4	4	1	210	6	5	19					4	1		068
2	Guessing	5	11	2	45	14	13	6					11	1		068
2	Guessing	6	19	3	240	14	11	25					19	1		068
2	Guessing	7	8	2	270	20	19	4					8	1		068
2	Guessing	8	5	1	60	6	16	14					5	1		068
2	Guessing	9	13	2	330	6	8	25					13	1		068
2	Guessing	10	6	1	240	19	16	13					6	1		068
2	Guessing	11	25	4	120	13	16	6					25	1		068
2	Guessing	1	8	2	270	14	13	25					8	1		068
2	Guessing	2	14	2	180	25	20	13					14	1		068
2	Guessing	3	13	2	330	6	16	25					13	1		068
2	Guessing	4	25	4	120	19	8	16					25	1		068
2	Guessing	5	19	3	240	20	14	25					19	1		068
2	Guessing	6	6	1	240	25	13	14					6	1		068
2	Guessing	7	20	3	315	16	6	11					20	1		068
2	Guessing	8	4	1	210	16	5	14					4	1		068
2	Guessing	9	16	3	135	20	6	11					16	1		068
2	Guessing	10	11	2	45	20	14	5					11	1		068
2	Guessing	11	5	1	60	4	16	6					5	1		068
2	Production	1	20	3	315									1	guasui	068
2	Production	2	6	1	240									1	festuua	068
2	Production	3	4	1	210									0	festuaa	068
2	Production	4	5	1	60									1	festoi	068
2	Production	5	19	3	240									1	guasuua	068
2	Production	6	11	2	45									1	tupoi	068
2	Production	7	13	2	330									1	tupiiu	068
2	Production	8	8	2	270									1	tupuu	068
2	Production	9	14	2	180									1	tupaa	068
2	Production	10	16	3	135									1	guasoa	068
2	Production	11	25	4	120									1	wasoa	068
2	Production	1	14	2	180									1	tupaa	068
2	Production	2	13	2	330									1	tupiiu	068
2	Production	3	19	3	240									1	guasuua	068
2	Production	4	16	3	135									1	guasoa	068
2	Production	5	25	4	120									1	wasoa	068
2	Production	6	8	2	270									1	tupuu	068
2	Production	7	6	1	240									1	festuua	068
2	Production	8	4	1	210									1	festaau	068
2	Production	9	11	2	45									1	tupoi	068
2	Production	10	5	1	60									1	festoi	068
2	Production	11	20	3	315									1	guasui	068
3	Exposure	1	4	1	210											068
3	Exposure	2	18	3	180											068
3	Exposure	3	6	1	240											068
3	Exposure	4	26	4	225											068
3	Exposure	5	1	1	150											068
3	Exposure	6	25	4	120											068
3	Exposure	7	7	1	315											068
3	Exposure	8	28	4	30											068
3	Exposure	9	20	3	315											068
3	Exposure	10	9	2	90											068
3	Exposure	11	13	2	330											068
3	Exposure	12	5	1	60											068
3	Exposure	13	11	2	45											068
3	Exposure	14	8	2	270											068
3	Exposure	15	23	4	300											068
3	Exposure	16	19	3	240											068
3	Exposure	17	16	3	135											068
3	Exposure	18	10	2	210											068
3	Exposure	19	3	1	360											068
3	Exposure	20	21	3	270											068
3	Exposure	21	12	2	135											068
3	Exposure	22	15	3	45											068
3	Exposure	23	14	2	180											068
3	Guessing	1	6	1	240	21	9	26	12	11	18	14	6	1		068
3	Guessing	2	28	4	30	3	9	13	26	23	16	5	28	1		068
3	Guessing	3	23	4	300	15	3	14	26	8	4	18	23	1		068
3	Guessing	4	9	2	90	7	21	20	1	8	10	23	9	1		068
3	Guessing	5	16	3	135	19	4	20	11	9	21	26	16	1		068
3	Guessing	6	18	3	180	14	23	16	15	3	1	13	18	1		068
3	Guessing	7	21	3	270	8	20	4	11	3	6	16	21	1		068
3	Guessing	8	7	1	315	1	8	14	10	28	4	23	7	1		068
3	Guessing	9	20	3	315	23	3	26	11	1	21	18	20	1		068
3	Guessing	10	25	4	120	12	6	14	21	11	20	26	25	1		068
3	Guessing	11	4	1	210	11	1	7	3	25	16	6	4	1		068
3	Guessing	12	26	4	225	14	8	15	19	5	20	4	26	1		068
3	Guessing	13	8	2	270	23	10	5	18	11	15	4	8	1		068
3	Guessing	14	15	3	45	5	16	11	21	1	18	19	15	1		068
3	Guessing	15	1	1	150	21	5	20	12	23	16	9	1	1		068
3	Guessing	16	11	2	45	20	1	12	19	15	21	25	11	1		068
3	Guessing	17	3	1	360	28	11	1	18	19	6	26	3	1		068
3	Guessing	18	13	2	330	23	7	25	18	11	1	8	13	1		068
3	Guessing	19	19	3	240	21	3	8	11	1	26	25	19	1		068
3	Guessing	20	12	2	135	26	28	19	8	10	13	23	12	1		068
3	Guessing	21	5	1	60	10	11	6	19	8	15	18	5	1		068
3	Guessing	22	14	2	180	9	13	23	5	28	4	10	14	1		068
3	Guessing	23	10	2	210	28	15	12	3	14	5	13	10	1		068
3	Production	1	18	3	180									1	guasaa	068
3	Production	2	25	4	120									1	wasoa	068
3	Production	3	3	1	360									1	festii	068
3	Production	4	6	1	240									1	festuua	068
3	Production	5	9	2	90									1	tupoo	068
3	Production	6	13	2	330									1	tupiiu	068
3	Production	7	20	3	315									1	guasui	068
3	Production	8	8	2	270									1	tupuu	068
3	Production	9	1	1	150									1	festoa	068
3	Production	10	26	4	225									1	wasua	068
3	Production	11	19	3	240									1	guasuua	068
3	Production	12	5	1	60									1	festoi	068
3	Production	13	7	1	315									1	festui	068
3	Production	14	14	2	180									1	tupaa	068
3	Production	15	10	2	210									1	tupaau	068
3	Production	16	4	1	210									1	festaau	068
3	Production	17	11	2	45									1	tupoi	068
3	Production	18	12	2	135									1	tupoa	068
3	Production	19	23	4	300									1	wasuui	068
3	Production	20	16	3	135									1	guasoa	068
3	Production	21	21	3	270									1	guasuu	068
3	Production	22	15	3	45									1	guasoi	068
3	Production	23	28	4	30									1	wasio	068
5	MemorizationTest	1	12	2	135									1	tupoa	068
5	MemorizationTest	2	5	1	60									1	festoi	068
5	MemorizationTest	3	14	2	180									1	tupaa	068
5	MemorizationTest	4	20	3	315									1	guasui	068
5	MemorizationTest	5	1	1	150									1	festoa	068
5	MemorizationTest	6	25	4	120									1	wasoa	068
5	MemorizationTest	7	28	4	30									1	wasio	068
5	MemorizationTest	8	21	3	270									1	guasuu	068
5	MemorizationTest	9	6	1	240									1	festuua	068
5	MemorizationTest	10	16	3	135									1	guasoa	068
5	MemorizationTest	11	4	1	210									1	festaau	068
5	MemorizationTest	12	13	2	330									1	tupiiu	068
5	MemorizationTest	13	8	2	270									1	tupuu	068
5	MemorizationTest	14	19	3	240									1	guasuua	068
5	MemorizationTest	15	7	1	315									1	festui	068
5	MemorizationTest	16	26	4	225									1	wasua	068
5	MemorizationTest	17	9	2	90									1	tupoo	068
5	MemorizationTest	18	15	3	45									1	guasoi	068
5	MemorizationTest	19	18	3	180									1	guasaa	068
5	MemorizationTest	20	23	4	300									1	wasuui	068
5	MemorizationTest	21	10	2	210									1	tupaau	068
5	MemorizationTest	22	11	2	45									1	tupoi	068
5	MemorizationTest	23	3	1	360									1	festii	068
5	RegularizationTest	1	24	4	90										wisoo	068
5	RegularizationTest	2	36	4	150										wisoa	068
5	RegularizationTest	3	29	1	120										fastoa	068
5	RegularizationTest	4	35	4	60										wisoi	068
5	RegularizationTest	5	31	2	360										tipii	068
5	RegularizationTest	6	32	2	300										tipuui	068
5	RegularizationTest	7	17	3	225										giasua	068
5	RegularizationTest	8	33	3	360										giasii	068
5	RegularizationTest	9	30	1	225										fastua	068
5	RegularizationTest	10	34	3	60										giasoi	068
5	RegularizationTest	11	2	1	30										fastio	068
5	RegularizationTest	12	22	4	330										wisiiu	068
5	RegularizationTest	13	27	4	150										wisoa	068
