Language learnability experiment																
Logfile written - 06/19/2019 13:10:46																
Participant ID: 055																
Language: S3																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	10	2	210											55
1	Exposure	2	28	4	30											55
1	Exposure	3	5	1	60											55
1	Exposure	4	9	2	90											55
1	Exposure	5	18	3	180											55
1	Exposure	6	16	3	135											55
1	Exposure	7	7	1	315											55
1	Exposure	8	3	1	360											55
1	Exposure	9	13	2	330											55
1	Exposure	10	21	3	270											55
1	Exposure	11	26	4	225											55
1	Exposure	12	25	4	120											55
1	Exposure	1	5	1	60											55
1	Exposure	2	18	3	180											55
1	Exposure	3	7	1	315											55
1	Exposure	4	9	2	90											55
1	Exposure	5	26	4	225											55
1	Exposure	6	16	3	135											55
1	Exposure	7	3	1	360											55
1	Exposure	8	25	4	120											55
1	Exposure	9	13	2	330											55
1	Exposure	10	21	3	270											55
1	Exposure	11	28	4	30											55
1	Exposure	12	10	2	210											55
1	Guessing	1	25	4	120	16	3	18					18	0		55
1	Guessing	2	9	2	90	25	7	26					9	1		55
1	Guessing	3	18	3	180	16	5	3					18	1		55
1	Guessing	4	26	4	225	16	7	28					26	1		55
1	Guessing	5	28	4	30	7	5	18					28	1		55
1	Guessing	6	5	1	60	7	18	21					7	0		55
1	Guessing	7	21	3	270	26	9	5					21	1		55
1	Guessing	8	13	2	330	3	5	21					13	1		55
1	Guessing	9	7	1	315	9	28	16					7	1		55
1	Guessing	10	3	1	360	16	26	18					3	1		55
1	Guessing	11	10	2	210	3	25	26					10	1		55
1	Guessing	12	16	3	135	26	3	21					21	0		55
1	Guessing	1	28	4	30	7	26	18					28	1		55
1	Guessing	2	26	4	225	3	9	16					26	1		55
1	Guessing	3	7	1	315	3	5	10					5	0		55
1	Guessing	4	16	3	135	7	26	3					16	1		55
1	Guessing	5	10	2	210	21	13	7					10	1		55
1	Guessing	6	13	2	330	7	16	3					13	1		55
1	Guessing	7	21	3	270	28	18	5					21	1		55
1	Guessing	8	3	1	360	13	16	18					3	1		55
1	Guessing	9	5	1	60	25	9	26					5	1		55
1	Guessing	10	9	2	90	28	21	18					18	0		55
1	Guessing	11	25	4	120	21	28	16					25	1		55
1	Guessing	12	18	3	180	28	26	5					18	1		55
1	Production	1	16	3	135									0	fowee	55
1	Production	2	3	1	360									1	fewen	55
1	Production	3	13	2	330									1	asko-o-o	55
1	Production	4	5	1	60									0	fewoo	55
1	Production	5	28	4	30									0	fuetee	55
1	Production	6	7	1	315									1	fewoo	55
1	Production	7	25	4	120									0	fuetii	55
1	Production	8	9	2	90									1	askii	55
1	Production	9	21	3	270									0	powoo	55
1	Production	10	18	3	180									0	powwee	55
1	Production	11	26	4	225									0	fueto-o-o	55
1	Production	12	10	2	210									1	askoa	55
1	Production	1	26	4	225									1	fuoto-o-o-o	55
1	Production	2	10	2	210									1	askoa	55
1	Production	3	13	2	330									1	asko-o-o	55
1	Production	4	18	3	180									0	powwee	55
1	Production	5	5	1	60									1	fewee	55
1	Production	6	9	2	90									0	asko	55
