Language learnability experiment
Logfile written - 05/14/2019 08:52:27
Participant ID: 035
Language: B5
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	3	1	360											035
1	Exposure	2	15	3	45											035
1	Exposure	3	18	3	180											035
1	Exposure	4	9	2	90											035
1	Exposure	5	7	1	315											035
1	Exposure	6	26	4	225											035
1	Exposure	7	28	4	30											035
1	Exposure	8	23	4	300											035
1	Exposure	9	10	2	210											035
1	Exposure	10	12	2	135											035
1	Exposure	11	1	1	150											035
1	Exposure	12	21	3	270											035
1	Exposure	1	26	4	225											035
1	Exposure	2	7	1	315											035
1	Exposure	3	23	4	300											035
1	Exposure	4	15	3	45											035
1	Exposure	5	3	1	360											035
1	Exposure	6	9	2	90											035
1	Exposure	7	12	2	135											035
1	Exposure	8	1	1	150											035
1	Exposure	9	21	3	270											035
1	Exposure	10	18	3	180											035
1	Exposure	11	28	4	30											035
1	Exposure	12	10	2	210											035
1	Guessing	1	9	2	90	21	10	3					10	0		035
1	Guessing	2	18	3	180	9	7	10					18	1		035
1	Guessing	3	28	4	30	26	12	7					28	1		035
1	Guessing	4	7	1	315	26	1	28					1	0		035
1	Guessing	5	26	4	225	9	7	10					26	1		035
1	Guessing	6	23	4	300	12	7	3					23	1		035
1	Guessing	7	1	1	150	26	9	10					1	1		035
1	Guessing	8	3	1	360	28	23	1					1	0		035
1	Guessing	9	15	3	45	23	3	18					15	1		035
1	Guessing	10	21	3	270	3	12	15					21	1		035
1	Guessing	11	10	2	210	9	23	3					9	0		035
1	Guessing	12	12	2	135	15	18	23					12	1		035
1	Guessing	1	21	3	270	18	3	15					21	1		035
1	Guessing	2	26	4	225	15	12	3					26	1		035
1	Guessing	3	18	3	180	12	3	7					18	1		035
1	Guessing	4	23	4	300	3	26	7					23	1		035
1	Guessing	5	10	2	210	23	26	7					10	1		035
1	Guessing	6	9	2	90	18	3	15					9	1		035
1	Guessing	7	3	1	360	28	26	7					7	0		035
1	Guessing	8	28	4	30	3	23	10					23	0		035
1	Guessing	9	7	1	315	9	18	10					7	1		035
1	Guessing	10	15	3	45	7	9	26					15	1		035
1	Guessing	11	1	1	150	21	15	23					1	1		035
1	Guessing	12	12	2	135	1	10	28					12	1		035
1	Production	1	21	3	270									1	guasuu	035
1	Production	2	18	3	180									0	guasoi	035
1	Production	3	26	4	225									0	wasuaa	035
1	Production	4	1	1	150									0	festii	035
1	Production	5	28	4	30									0	wasoi	035
1	Production	6	23	4	300									0	wasuu	035
1	Production	7	7	1	315									1	festui	035
1	Production	8	12	2	135									0	tupua	035
1	Production	9	9	2	90									0	tupio	035
1	Production	10	15	3	45									0	guasio	035
1	Production	11	10	2	210									0	tupua	035
1	Production	12	3	1	360									1	festii	035
1	Production	1	10	2	210									0	tupua	035
1	Production	2	9	2	90									1	tupoo	035
1	Production	3	28	4	30									0	wasoi	035
1	Production	4	26	4	225									0	wasaau	035
1	Production	5	12	2	135									0	festoaa	035
1	Production	6	21	3	270									1	guasuu	035
1	Production	7	23	4	300									0	wasui	035
1	Production	8	1	1	150									0	festooa	035
1	Production	9	3	1	360									1	festii	035
1	Production	10	18	3	180									1	guasaa	035
1	Production	11	15	3	45									0	guasio	035
1	Production	12	7	1	315									1	festui	035
2	Exposure	1	8	2	270											035
2	Exposure	2	19	3	240											035
2	Exposure	3	11	2	45											035
2	Exposure	4	5	1	60											035
2	Exposure	5	4	1	210											035
2	Exposure	6	13	2	330											035
2	Exposure	7	25	4	120											035
2	Exposure	8	14	2	180											035
2	Exposure	9	6	1	240											035
2	Exposure	10	20	3	315											035
2	Exposure	11	16	3	135											035
2	Exposure	1	19	3	240											035
2	Exposure	2	5	1	60											035
2	Exposure	3	16	3	135											035
2	Exposure	4	20	3	315											035
2	Exposure	5	8	2	270											035
2	Exposure	6	4	1	210											035
