Language learnability experiment																
Logfile written - 05/02/2019 09:46:54																
Participant ID: 002																
Language: S3																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	26	4	225											2
1	Exposure	2	3	1	360											2
1	Exposure	3	25	4	120											2
1	Exposure	4	13	2	330											2
1	Exposure	5	9	2	90											2
1	Exposure	6	21	3	270											2
1	Exposure	7	7	1	315											2
1	Exposure	8	16	3	135											2
1	Exposure	9	28	4	30											2
1	Exposure	10	10	2	210											2
1	Exposure	11	5	1	60											2
1	Exposure	12	18	3	180											2
1	Exposure	1	16	3	135											2
1	Exposure	2	21	3	270											2
1	Exposure	3	25	4	120											2
1	Exposure	4	26	4	225											2
1	Exposure	5	13	2	330											2
1	Exposure	6	7	1	315											2
1	Exposure	7	5	1	60											2
1	Exposure	8	3	1	360											2
1	Exposure	9	9	2	90											2
1	Exposure	10	18	3	180											2
1	Exposure	11	10	2	210											2
1	Exposure	12	28	4	30											2
1	Guessing	1	5	1	60	13	9	26					26	0		2
1	Guessing	2	13	2	330	5	7	18					5	0		2
1	Guessing	3	18	3	180	16	7	28					28	0		2
1	Guessing	4	26	4	225	5	7	10					5	0		2
1	Guessing	5	3	1	360	18	13	5					5	0		2
1	Guessing	6	28	4	30	21	5	7					28	1		2
1	Guessing	7	25	4	120	28	18	21					25	1		2
1	Guessing	8	10	2	210	21	9	25					10	1		2
1	Guessing	9	9	2	90	25	3	7					9	1		2
1	Guessing	10	7	1	315	28	9	16					28	0		2
1	Guessing	11	21	3	270	9	5	13					21	1		2
1	Guessing	12	16	3	135	10	26	28					16	1		2
1	Guessing	1	3	1	360	26	25	16					25	0		2
1	Guessing	2	28	4	30	18	25	9					25	0		2
1	Guessing	3	9	2	90	5	26	7					9	1		2
1	Guessing	4	21	3	270	9	13	28					21	1		2
1	Guessing	5	16	3	135	10	7	21					16	1		2
1	Guessing	6	25	4	120	26	5	18					26	0		2
1	Guessing	7	10	2	210	26	21	25					10	1		2
1	Guessing	8	13	2	330	10	25	21					13	1		2
1	Guessing	9	7	1	315	9	13	28					7	1		2
1	Guessing	10	26	4	225	16	28	18					26	1		2
1	Guessing	11	18	3	180	21	9	26					21	0		2
1	Guessing	12	5	1	60	13	18	21					5	1		2
1	Production	1	25	4	120									0	fuoto-o-o	2
1	Production	2	21	3	270									0	pewee	2
1	Production	3	13	2	330									0	fewee	2
1	Production	4	5	1	60									0	fowoo	2
1	Production	5	3	1	360									0	fewii	2
1	Production	6	7	1	315									0	fewii	2
1	Production	7	10	2	210									0	powoo	2
1	Production	8	18	3	180									0	powoo	2
1	Production	9	26	4	225									0	fuoto-o-o	2
