Language learnability experiment
Logfile written - 05/15/2019 08:54:29
Participant ID: 039
Language: B1
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	14	2	120											039
1	Exposure	2	9	2	270											039
1	Exposure	3	12	2	30											039
1	Exposure	4	3	1	90											039
1	Exposure	5	23	4	360											039
1	Exposure	6	24	4	180											039
1	Exposure	7	7	1	135											039
1	Exposure	8	19	3	135											039
1	Exposure	9	20	3	240											039
1	Exposure	10	17	3	315											039
1	Exposure	11	1	1	210											039
1	Exposure	12	22	4	60											039
1	Exposure	1	19	3	135											039
1	Exposure	2	22	4	60											039
1	Exposure	3	14	2	120											039
1	Exposure	4	17	3	315											039
1	Exposure	5	24	4	180											039
1	Exposure	6	20	3	240											039
1	Exposure	7	9	2	270											039
1	Exposure	8	1	1	210											039
1	Exposure	9	3	1	90											039
1	Exposure	10	7	1	135											039
1	Exposure	11	23	4	360											039
1	Exposure	12	12	2	30											039
1	Guessing	1	9	2	270	1	14	7					9	1		039
1	Guessing	2	14	2	120	23	19	24					19	0		039
1	Guessing	3	12	2	30	22	17	20					12	1		039
1	Guessing	4	17	3	315	22	23	24					17	1		039
1	Guessing	5	3	1	90	7	14	17					3	1		039
1	Guessing	6	24	4	180	1	14	22					24	1		039
1	Guessing	7	22	4	60	23	1	17					22	1		039
1	Guessing	8	19	3	135	17	24	23					19	1		039
1	Guessing	9	7	1	135	9	20	14					7	1		039
1	Guessing	10	1	1	210	7	22	19					1	1		039
1	Guessing	11	23	4	360	20	17	22					23	1		039
1	Guessing	12	20	3	240	3	12	24					20	1		039
1	Guessing	1	7	1	135	22	17	19					19	0		039
1	Guessing	2	17	3	315	12	20	23					17	1		039
1	Guessing	3	3	1	90	20	14	22					3	1		039
1	Guessing	4	20	3	240	23	22	9					20	1		039
1	Guessing	5	1	1	210	20	12	7					1	1		039
1	Guessing	6	23	4	360	7	3	19					23	1		039
1	Guessing	7	22	4	60	17	1	20					22	1		039
1	Guessing	8	9	2	270	24	23	17					9	1		039
1	Guessing	9	12	2	30	24	22	19					19	0		039
1	Guessing	10	19	3	135	22	12	7					7	0		039
1	Guessing	11	24	4	180	22	12	19					24	1		039
1	Guessing	12	14	2	120	19	12	3					14	1		039
1	Production	1	14	2	120									0	fte	039
1	Production	2	17	3	315									0	miama	039
1	Production	3	23	4	360									0	seefe	039
1	Production	4	7	1	135									0	ftio	039
1	Production	5	3	1	90									1	hiu	039
1	Production	6	9	2	270									1	pooti	039
1	Production	7	19	3	135									0	seefe	039
1	Production	8	24	4	180									0	seefe	039
1	Production	9	20	3	240									1	koi	039
1	Production	10	12	2	30									0	hiu	039
1	Production	11	1	1	210									0	mimi	039
1	Production	12	22	4	60									1	kite	039
