Language learnability experiment
Logfile written - 08/19/2019 13:23:36
Participant ID: 073
Language: B4
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	16	3	135											073
1	Exposure	2	23	4	300											073
1	Exposure	3	28	4	30											073
1	Exposure	4	18	3	180											073
1	Exposure	5	1	1	150											073
1	Exposure	6	8	2	270											073
1	Exposure	7	3	1	360											073
1	Exposure	8	7	1	315											073
1	Exposure	9	19	3	240											073
1	Exposure	10	11	2	45											073
1	Exposure	11	9	2	90											073
1	Exposure	12	26	4	225											073
1	Exposure	1	26	4	225											073
1	Exposure	2	28	4	30											073
1	Exposure	3	19	3	240											073
1	Exposure	4	3	1	360											073
1	Exposure	5	16	3	135											073
1	Exposure	6	8	2	270											073
1	Exposure	7	23	4	300											073
1	Exposure	8	11	2	45											073
1	Exposure	9	18	3	180											073
1	Exposure	10	9	2	90											073
1	Exposure	11	7	1	315											073
1	Exposure	12	1	1	150											073
1	Guessing	1	7	1	315	9	18	28					7	1		073
1	Guessing	2	28	4	30	8	1	11					11	0		073
1	Guessing	3	18	3	180	19	9	26					18	1		073
1	Guessing	4	9	2	90	8	7	3					9	1		073
1	Guessing	5	1	1	150	9	19	28					1	1		073
1	Guessing	6	19	3	240	23	9	16					16	0		073
1	Guessing	7	16	3	135	28	1	8					16	1		073
1	Guessing	8	11	2	45	3	8	7					3	0		073
1	Guessing	9	8	2	270	18	28	16					8	1		073
1	Guessing	10	23	4	300	11	26	9					26	0		073
1	Guessing	11	26	4	225	23	8	1					26	1		073
1	Guessing	12	3	1	360	7	18	28					28	0		073
1	Guessing	1	19	3	240	3	18	7					19	1		073
1	Guessing	2	7	1	315	26	3	1					1	0		073
1	Guessing	3	28	4	30	26	18	11					28	1		073
1	Guessing	4	9	2	90	23	28	26					9	1		073
1	Guessing	5	26	4	225	1	28	7					26	1		073
1	Guessing	6	3	1	360	19	16	28					28	0		073
1	Guessing	7	11	2	45	7	8	19					11	1		073
1	Guessing	8	18	3	180	1	8	28					18	1		073
1	Guessing	9	23	4	300	11	9	28					23	1		073
1	Guessing	10	8	2	270	19	23	28					28	0		073
1	Guessing	11	1	1	150	28	19	9					1	1		073
1	Guessing	12	16	3	135	26	8	19					16	1		073
1	Production	1	23	4	300									0	fak-e	073
1	Production	2	7	1	315									0	muif-w	073
1	Production	3	26	4	225									0	muif-w	073
1	Production	4	9	2	90									0	muif-iii	073
1	Production	5	18	3	180									0	pok-e	073
1	Production	6	11	2	45									0	pok-e	073
1	Production	7	8	2	270									1	pok-u	073
1	Production	8	16	3	135									0	fak-e	073
1	Production	9	28	4	30									1	fak-a	073
1	Production	10	3	1	360									0	pok-i	073
1	Production	11	1	1	150									1	fas-e	073
1	Production	12	19	3	240									0	muif-u	073
1	Production	1	18	3	180									0	muif-e	073
1	Production	2	9	2	90									1	pok-iii	073
1	Production	3	11	2	45									0	pok-i	073
1	Production	4	1	1	150									0	fas-a	073
1	Production	5	8	2	270									1	pok-u	073
1	Production	6	19	3	240									1	muif-huif	073
1	Production	7	23	4	300									0	fak-huif	073
1	Production	8	16	3	135									0	pok-e	073
1	Production	9	3	1	360									0	fas-a	073
1	Production	10	7	1	315									1	fas-pok	073
1	Production	11	26	4	225									1	fak-huif	073
1	Production	12	28	4	30									0	fak-i	073
2	Exposure	1	15	3	45											073
2	Exposure	2	21	3	270											073
2	Exposure	3	12	2	135											073
2	Exposure	4	14	2	180											073
2	Exposure	5	20	3	315											073
2	Exposure	6	10	2	210											073
2	Exposure	7	13	2	330											073
2	Exposure	8	25	4	120											073
2	Exposure	9	6	1	240											073
2	Exposure	10	4	1	210											073
2	Exposure	11	5	1	60											073
2	Exposure	1	4	1	210											073
2	Exposure	2	12	2	135											073
2	Exposure	3	15	3	45											073
2	Exposure	4	10	2	210											073
2	Exposure	5	6	1	240											073
2	Exposure	6	14	2	180											073
2	Exposure	7	21	3	270											073
2	Exposure	8	5	1	60											073
2	Exposure	9	25	4	120											073
2	Exposure	10	20	3	315											073
2	Exposure	11	13	2	330											073
2	Guessing	1	20	3	315	5	4	25					20	1		073
2	Guessing	2	10	2	210	13	20	15					10	1		073
2	Guessing	3	15	3	45	6	25	20					15	1		073
2	Guessing	4	6	1	240	4	25	21					4	0		073
2	Guessing	5	21	3	270	15	4	10					21	1		073
2	Guessing	6	12	2	135	21	20	5					12	1		073
2	Guessing	7	4	1	210	20	10	12					4	1		073
2	Guessing	8	14	2	180	12	15	25					14	1		073
2	Guessing	9	13	2	330	5	6	25					13	1		073
2	Guessing	10	25	4	120	14	10	15					25	1		073
2	Guessing	11	5	1	60	6	15	13					5	1		073
2	Guessing	1	25	4	120	13	6	5					25	1		073
2	Guessing	2	4	1	210	15	20	25					4	1		073
2	Guessing	3	13	2	330	14	20	6					13	1		073
2	Guessing	4	6	1	240	10	5	14					6	1		073
2	Guessing	5	15	3	45	13	12	21					15	1		073
2	Guessing	6	21	3	270	13	5	14					21	1		073
2	Guessing	7	12	2	135	20	4	5					12	1		073
2	Guessing	8	5	1	60	10	12	13					5	1		073
