Language learnability experiment																
Logfile written - 05/14/2019 11:29:21																
Participant ID: 037																
Language: B3																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	4	1	90											37
1	Exposure	2	13	2	180											37
1	Exposure	3	15	3	60											37
1	Exposure	4	9	2	45											37
1	Exposure	5	6	1	360											37
1	Exposure	6	17	3	315											37
1	Exposure	7	5	1	300											37
1	Exposure	8	26	4	270											37
1	Exposure	9	24	4	210											37
1	Exposure	10	21	3	240											37
1	Exposure	11	8	2	120											37
1	Exposure	12	25	4	45											37
1	Exposure	1	4	1	90											37
1	Exposure	2	17	3	315											37
1	Exposure	3	21	3	240											37
1	Exposure	4	26	4	270											37
1	Exposure	5	5	1	300											37
1	Exposure	6	15	3	60											37
1	Exposure	7	25	4	45											37
1	Exposure	8	8	2	120											37
1	Exposure	9	9	2	45											37
1	Exposure	10	6	1	360											37
1	Exposure	11	13	2	180											37
1	Exposure	12	24	4	210											37
1	Guessing	1	9	2	45	26	5	17					9	1		37
1	Guessing	2	4	1	90	5	13	21					13	0		37
1	Guessing	3	15	3	60	6	25	24					15	1		37
1	Guessing	4	5	1	300	6	26	4					5	1		37
1	Guessing	5	24	4	210	26	13	6					26	0		37
1	Guessing	6	17	3	315	25	8	4					8	0		37
1	Guessing	7	13	2	180	26	5	15					15	0		37
1	Guessing	8	6	1	360	21	26	25					25	0		37
1	Guessing	9	25	4	45	15	8	21					25	1		37
1	Guessing	10	26	4	270	25	5	21					26	1		37
1	Guessing	11	8	2	120	17	15	26					15	0		37
1	Guessing	12	21	3	240	25	13	8					13	0		37
1	Guessing	1	26	4	270	8	5	17					26	1		37
1	Guessing	2	24	4	210	5	21	25					25	0		37
1	Guessing	3	13	2	180	9	15	26					13	1		37
1	Guessing	4	25	4	45	26	24	17					24	0		37
1	Guessing	5	9	2	45	5	6	26					9	1		37
1	Guessing	6	17	3	315	24	25	5					17	1		37
1	Guessing	7	5	1	300	24	25	15					5	1		37
1	Guessing	8	15	3	60	4	24	13					15	1		37
1	Guessing	9	21	3	240	5	4	15					21	1		37
1	Guessing	10	8	2	120	17	24	26					17	0		37
1	Guessing	11	6	1	360	9	21	25					6	1		37
1	Guessing	12	4	1	90	24	9	25					4	1		37
1	Production	1	15	3	60									1	kome	37
1	Production	2	17	3	315									0	punkto	37
1	Production	3	8	2	120									0	kometihk	37
1	Production	4	26	4	270									1	woesiik	37
1	Production	5	25	4	45									0	woesitk	37
1	Production	6	13	2	180									0	puntiko	37
1	Production	7	4	1	90									0	koemiko	37
1	Production	8	21	3	240									0	pnuuniko	37
1	Production	9	9	2	45									0	kome	37
1	Production	10	5	1	300									0	momethuk	37
1	Production	11	6	1	360									0	mometa	37
1	Production	12	24	4	210									0	woesitkh	37
1	Production	1	6	1	360									0	momekio	37
1	Production	2	9	2	45									0	pnuunaa	37
1	Production	3	25	4	45									1	woesiko	37
1	Production	4	17	3	315									0	komethk	37
1	Production	5	15	3	60									0	koemiko	37
1	Production	6	8	2	120									0	pnuunaa	37
1	Production	7	21	3	240									0	pnuuniko	37
1	Production	8	24	4	210									0	woesituk	37
1	Production	9	4	1	90									0	mometuk	37
1	Production	10	26	4	270									0	woesiok	37
1	Production	11	13	2	180									0	pnuunitkh	37
1	Production	12	5	1	300									0	mometkh	37
2	Exposure	1	11	2	300											37
2	Exposure	2	10	2	225											37
2	Exposure	3	23	4	135											37
2	Exposure	4	22	4	90											37
2	Exposure	5	2	1	30											37
2	Exposure	6	7	1	240											37
2	Exposure	7	1	1	150											37
2	Exposure	8	14	2	330											37
2	Exposure	9	3	1	210											37
2	Exposure	10	16	3	180											37
2	Exposure	11	28	4	330											37
2	Exposure	1	16	3	180											37
2	Exposure	2	28	4	330											37
2	Exposure	3	2	1	30											37
2	Exposure	4	22	4	90											37
2	Exposure	5	10	2	225											37
2	Exposure	6	1	1	150											37
2	Exposure	7	7	1	240											37
2	Exposure	8	11	2	300											37
2	Exposure	9	3	1	210											37
