Language learnability experiment
Logfile written - 05/29/2019 11:23:07
Participant ID: 051
Language: S1
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	7	1	315											051
1	Exposure	2	16	3	135											051
1	Exposure	3	21	3	270											051
1	Exposure	4	4	1	210											051
1	Exposure	5	26	4	225											051
1	Exposure	6	9	2	90											051
1	Exposure	7	14	2	180											051
1	Exposure	8	10	2	210											051
1	Exposure	9	25	4	120											051
1	Exposure	10	3	1	360											051
1	Exposure	11	20	3	315											051
1	Exposure	12	28	4	30											051
1	Exposure	1	16	3	135											051
1	Exposure	2	10	2	210											051
1	Exposure	3	26	4	225											051
1	Exposure	4	25	4	120											051
1	Exposure	5	4	1	210											051
1	Exposure	6	7	1	315											051
1	Exposure	7	9	2	90											051
1	Exposure	8	14	2	180											051
1	Exposure	9	21	3	270											051
1	Exposure	10	3	1	360											051
1	Exposure	11	20	3	315											051
1	Exposure	12	28	4	30											051
1	Guessing	1	16	3	135	26	7	10					7	0		051
1	Guessing	2	26	4	225	10	7	16					26	1		051
1	Guessing	3	3	1	360	16	26	25					3	1		051
1	Guessing	4	14	2	180	9	16	21					9	0		051
1	Guessing	5	21	3	270	9	20	14					20	0		051
1	Guessing	6	20	3	315	7	26	9					7	0		051
1	Guessing	7	4	1	210	9	3	7					9	0		051
1	Guessing	8	10	2	210	3	16	28					10	1		051
1	Guessing	9	28	4	30	9	25	3					28	1		051
1	Guessing	10	7	1	315	10	9	28					7	1		051
1	Guessing	11	9	2	90	3	21	4					9	1		051
1	Guessing	12	25	4	120	3	28	21					25	1		051
1	Guessing	1	28	4	30	7	26	9					28	1		051
1	Guessing	2	3	1	360	25	10	7					7	0		051
1	Guessing	3	16	3	135	9	20	28					16	1		051
1	Guessing	4	4	1	210	25	26	16					4	1		051
1	Guessing	5	25	4	120	4	28	3					25	1		051
1	Guessing	6	20	3	315	28	21	26					20	1		051
1	Guessing	7	26	4	225	28	25	14					25	0		051
1	Guessing	8	7	1	315	4	26	20					7	1		051
1	Guessing	9	10	2	210	20	14	7					10	1		051
1	Guessing	10	14	2	180	25	26	7					14	1		051
1	Guessing	11	21	3	270	28	9	14					14	0		051
1	Guessing	12	9	2	90	10	28	7					9	1		051
1	Production	1	7	1	315									0	wafk	051
1	Production	2	14	2	180									0	spuut	051
1	Production	3	9	2	90									0	wafk	051
1	Production	4	4	1	210									0	goom	051
1	Production	5	21	3	270									0	goom	051
1	Production	6	16	3	135									0	pohuif	051
1	Production	7	25	4	120									1	wafk	051
1	Production	8	3	1	360									0	goom	051
1	Production	9	20	3	315									0	goom	051
1	Production	10	26	4	225									0	wafk	051
1	Production	11	28	4	30									0	wefk	051
1	Production	12	10	2	210									0	spuut	051
1	Production	1	7	1	315									0	spuut	051
1	Production	2	3	1	360									0	goom	051
1	Production	3	10	2	210									0	pohuif	051
1	Production	4	21	3	270									0	wafk	051
1	Production	5	16	3	135									0	pohuif	051
1	Production	6	9	2	90									0	goom	051
1	Production	7	25	4	120									0	wufk	051
1	Production	8	14	2	180									0	goom	051
1	Production	9	20	3	315									0	spuut	051
1	Production	10	4	1	210									0	goom	051
1	Production	11	26	4	225									0	wafk	051
1	Production	12	28	4	30									0	hief	051
2	Exposure	1	11	2	45											051
2	Exposure	2	1	1	150											051
2	Exposure	3	6	1	240											051
2	Exposure	4	23	4	300											051
2	Exposure	5	8	2	270											051
2	Exposure	6	13	2	330											051
2	Exposure	7	19	3	240											051
2	Exposure	8	18	3	180											051
2	Exposure	9	5	1	60											051
2	Exposure	10	15	3	45											051
2	Exposure	11	12	2	135											051
2	Exposure	1	8	2	270											051
2	Exposure	2	15	3	45											051
