Language learnability experiment																
Logfile written - 09/23/2019 09:54:20																
Participant ID: 096																
Language: S3																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	5	1	60											96
1	Exposure	2	25	4	120											96
1	Exposure	3	21	3	270											96
1	Exposure	4	28	4	30											96
1	Exposure	5	10	2	210											96
1	Exposure	6	7	1	315											96
1	Exposure	7	16	3	135											96
1	Exposure	8	18	3	180											96
1	Exposure	9	13	2	330											96
1	Exposure	10	3	1	360											96
1	Exposure	11	9	2	90											96
1	Exposure	12	26	4	225											96
1	Exposure	1	28	4	30											96
1	Exposure	2	25	4	120											96
1	Exposure	3	9	2	90											96
1	Exposure	4	16	3	135											96
1	Exposure	5	21	3	270											96
1	Exposure	6	7	1	315											96
1	Exposure	7	18	3	180											96
1	Exposure	8	26	4	225											96
1	Exposure	9	3	1	360											96
1	Exposure	10	5	1	60											96
1	Exposure	11	13	2	330											96
1	Exposure	12	10	2	210											96
1	Guessing	1	18	3	180	9	10	28					18	1		96
1	Guessing	2	21	3	270	16	10	13					21	1		96
1	Guessing	3	16	3	135	25	7	13					16	1		96
1	Guessing	4	10	2	210	18	26	9					10	1		96
1	Guessing	5	28	4	30	16	26	7					28	1		96
1	Guessing	6	9	2	90	7	18	26					9	1		96
1	Guessing	7	7	1	315	25	9	10					7	1		96
1	Guessing	8	25	4	120	10	16	18					25	1		96
1	Guessing	9	26	4	225	16	13	9					26	1		96
1	Guessing	10	3	1	360	7	21	26					3	1		96
1	Guessing	11	5	1	60	25	3	7					5	1		96
1	Guessing	12	13	2	330	10	5	3					10	0		96
1	Guessing	1	13	2	330	25	21	3					13	1		96
1	Guessing	2	5	1	60	25	28	7					5	1		96
1	Guessing	3	26	4	225	3	5	21					26	1		96
1	Guessing	4	10	2	210	25	16	5					10	1		96
1	Guessing	5	16	3	135	7	9	18					18	0		96
