Language learnability experiment
Logfile written - 09/25/2019 11:24:54
Participant ID: 100
Language: S4
Computer: 5

Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	15	3	60											100
1	Exposure	2	1	1	150											100
1	Exposure	3	10	2	225											100
1	Exposure	4	23	4	135											100
1	Exposure	5	22	4	90											100
1	Exposure	6	17	3	315											100
1	Exposure	7	26	4	270											100
1	Exposure	8	13	2	180											100
1	Exposure	9	9	2	45											100
1	Exposure	10	5	1	300											100
1	Exposure	11	21	3	240											100
1	Exposure	12	6	1	360											100
1	Exposure	1	6	1	360											100
1	Exposure	2	5	1	300											100
1	Exposure	3	9	2	45											100
1	Exposure	4	10	2	225											100
1	Exposure	5	26	4	270											100
1	Exposure	6	23	4	135											100
1	Exposure	7	1	1	150											100
1	Exposure	8	17	3	315											100
1	Exposure	9	21	3	240											100
1	Exposure	10	22	4	90											100
1	Exposure	11	15	3	60											100
1	Exposure	12	13	2	180											100
1	Guessing	1	23	4	135	9	6	15					23	1		100
1	Guessing	2	26	4	270	23	10	17					26	1		100
1	Guessing	3	13	2	180	6	15	26					13	1		100
1	Guessing	4	1	1	150	17	23	5					1	1		100
1	Guessing	5	22	4	90	26	17	10					22	1		100
1	Guessing	6	17	3	315	26	23	21					17	1		100
1	Guessing	7	10	2	225	21	9	15					21	0		100
1	Guessing	8	9	2	45	22	23	15					9	1		100
1	Guessing	9	6	1	360	17	1	9					6	1		100
1	Guessing	10	5	1	300	9	13	1					5	1		100
1	Guessing	11	15	3	60	21	17	13					15	1		100
1	Guessing	12	21	3	240	23	9	6					21	1		100
1	Guessing	1	26	4	270	6	15	5					26	1		100
1	Guessing	2	17	3	315	23	5	9					5	0		100
1	Guessing	3	10	2	225	21	6	5					21	0		100
1	Guessing	4	6	1	360	10	22	21					6	1		100
1	Guessing	5	21	3	240	15	17	6					21	1		100
1	Guessing	6	9	2	45	10	5	15					9	1		100
1	Guessing	7	22	4	90	6	17	21					22	1		100
1	Guessing	8	15	3	60	26	22	17					15	1		100
1	Guessing	9	23	4	135	6	10	22					23	1		100
1	Guessing	10	1	1	150	23	5	13					1	1		100
1	Guessing	11	5	1	300	13	22	10					5	1		100
1	Guessing	12	13	2	180	21	9	15					13	1		100
1	Production	1	22	4	90									1	wes-sip	100
1	Production	2	21	3	240									0	geuh-noi	100
1	Production	3	23	4	135									0	wes-sa	100
1	Production	4	6	1	360									0	pas-sa	100
1	Production	5	10	2	225									1	geuh-noi	100
1	Production	6	17	3	315									1	tas-sa	100
1	Production	7	26	4	270									1	wes-uu	100
1	Production	8	5	1	300									0	geuh-no	100
1	Production	9	15	3	60									1	tas-si	100
1	Production	10	13	2	180									0	pai-sa	100
1	Production	11	9	2	45									1	geuh-si	100
1	Production	12	1	1	150									0	geuh-sa	100
1	Production	1	15	3	60									1	tas-si	100
1	Production	2	1	1	150									1	pio-noeg	100
1	Production	3	21	3	240									1	tas-noi	100
1	Production	4	9	2	45									1	geuh-si	100
1	Production	5	22	4	90									0	wes-si	100
1	Production	6	17	3	315									0	pas-sa	100
1	Production	7	10	2	225									1	geuh-noi	100
1	Production	8	6	1	360									0	pas-sa	100
1	Production	9	23	4	135									0	wes-noehg	100
1	Production	10	26	4	270									1	wes-uu	100
1	Production	11	13	2	180									0	pas-noeg	100
1	Production	12	5	1	300									0	pas-na	100
2	Exposure	1	8	2	120											100
2	Exposure	2	3	1	210											100
2	Exposure	3	16	3	180											100
2	Exposure	4	24	4	210											100
2	Exposure	5	7	1	240											100
2	Exposure	6	2	1	30											100
2	Exposure	7	14	2	330											100
2	Exposure	8	4	1	90											100
2	Exposure	9	25	4	45											100
2	Exposure	10	28	4	330											100
2	Exposure	11	11	2	300											100
2	Exposure	1	11	2	300											100
2	Exposure	2	8	2	120											100
2	Exposure	3	2	1	30											100
2	Exposure	4	7	1	240											100
2	Exposure	5	28	4	330											100
2	Exposure	6	16	3	180											100
2	Exposure	7	4	1	90											100
2	Exposure	8	14	2	330											100
2	Exposure	9	24	4	210											100
2	Exposure	10	25	4	45											100
2	Exposure	11	3	1	210											100
2	Guessing	1	16	3	180	25	2	4					16	1		100
2	Guessing	2	3	1	210	14	7	25					3	1		100
2	Guessing	3	2	1	30	8	28	25					25	0		100
2	Guessing	4	7	1	240	24	25	14					7	1		100
2	Guessing	5	28	4	330	14	8	7					28	1		100
2	Guessing	6	8	2	120	16	7	2					8	1		100
2	Guessing	7	11	2	300	14	16	24					11	1		100
2	Guessing	8	25	4	45	24	14	8					25	1		100
2	Guessing	9	4	1	90	16	11	14					4	1		100
2	Guessing	10	14	2	330	24	8	3					14	1		100
2	Guessing	11	24	4	210	11	25	8					24	1		100
2	Guessing	1	11	2	300	14	2	3					11	1		100
2	Guessing	2	3	1	210	25	4	16					16	0		100
2	Guessing	3	4	1	90	3	14	24					4	1		100
2	Guessing	4	24	4	210	14	7	8					24	1		100
2	Guessing	5	28	4	330	25	16	8					28	1		100
